Date,Time,delta_ms,Voltage,Current
2015-04-16,23:38:03,892,4.109,-0.00912752
2015-04-16,23:38:04,1005,4.10897,-0.00918477
2015-04-16,23:38:05,1002,4.11302,0.000999884
2015-04-16,23:38:06,1005,4.11295,0.000896643
2015-04-16,23:38:07,1001,4.11295,0.00086961
2015-04-16,23:38:08,1003,4.11293,0.000873097
2015-04-16,23:38:09,999,4.1129,0.000859739
2015-04-16,23:38:10,1001,4.1129,0.000863686
2015-04-16,23:38:11,1001,4.11289,0.000855509
2015-04-16,23:38:12,1001,4.11288,0.000846108
2015-04-16,23:38:13,1002,4.11286,0.000826546
2015-04-16,23:38:14,1004,4.11283,0.000831124
2015-04-16,23:38:15,1000,4.11278,0.000809083
2015-04-16,23:38:16,1001,4.11282,0.000829859
2015-04-16,23:38:17,1003,4.11281,0.000850903
2015-04-16,23:38:18,999,4.11292,0.000842699
2015-04-16,23:38:19,1004,4.11278,0.000843649
2015-04-16,23:38:20,1003,4.11274,0.000815319
2015-04-16,23:38:21,1001,4.11271,0.000804461
2015-04-16,23:38:22,1003,4.11265,0.000798443
2015-04-16,23:38:23,1000,4.11263,0.000811454
2015-04-16,23:38:24,1001,4.11258,0.000845112
2015-04-16,23:38:25,1005,4.11261,0.000847452
2015-04-16,23:38:26,1001,4.11259,0.000831438
2015-04-16,23:38:27,1001,4.11256,0.000821389
2015-04-16,23:38:28,1002,4.11255,0.000816479
2015-04-16,23:38:29,1003,4.11245,0.000821129
2015-04-16,23:38:30,1004,4.11245,0.000838291
2015-04-16,23:38:31,998,4.11244,0.000831027
2015-04-16,23:38:32,1002,4.1124,0.000830107
2015-04-16,23:38:33,1001,4.1124,0.000848316
2015-04-16,23:38:34,1001,4.11241,0.000837666
2015-04-16,23:38:35,1001,4.11233,0.000818819
2015-04-16,23:38:36,1005,4.11231,0.000810266
2015-04-16,23:38:37,1003,4.11227,0.000816154
2015-04-16,23:38:38,997,4.11219,0.000817627
2015-04-16,23:38:39,1003,4.11221,0.000835835
2015-04-16,23:38:40,1000,4.1122,0.000837133
2015-04-16,23:38:41,1002,4.11216,0.000838942
2015-04-16,23:38:42,1002,4.11216,0.000832695
2015-04-16,23:38:43,999,4.11215,0.000834978
2015-04-16,23:38:44,1003,4.11208,0.000821409
2015-04-16,23:38:45,1000,4.11208,0.000809862
2015-04-16,23:38:46,1003,4.11197,0.000824088
2015-04-16,23:38:47,1002,4.11197,0.000848934
2015-04-16,23:38:48,1003,4.11197,0.000829395
2015-04-16,23:38:49,1000,4.11193,0.000834627
2015-04-16,23:38:50,1004,4.11189,0.00079926
2015-04-16,23:38:51,1000,4.11186,0.000788961
2015-04-16,23:38:52,1002,4.11182,0.000810811
2015-04-16,23:38:53,1000,4.11182,0.000805727
2015-04-16,23:38:54,1002,4.11176,0.000838812
2015-04-16,23:38:55,1003,4.11177,0.000840063
2015-04-16,23:38:56,1000,4.11176,0.000813098
2015-04-16,23:38:57,1001,4.11171,0.000808343
2015-04-16,23:38:58,1002,4.11162,0.000807752
2015-04-16,23:38:59,1002,4.11165,0.00082291
2015-04-16,23:39:00,1002,4.11167,0.000847141
2015-04-16,23:39:01,1001,4.11167,0.000826773
2015-04-16,23:39:02,1001,4.11158,0.00081234
2015-04-16,23:39:03,1001,4.11157,0.000811407
2015-04-16,23:39:04,1002,4.11151,0.000803404
