Date,Time,delta_ms,Voltage,Current
2014-02-06,17:03:25,1001,7.39824,-0.0169684
2014-02-06,17:03:27,1108,7.55277,0.00194182
2014-02-06,17:03:28,1164,7.55186,0.00133883
2014-02-06,17:03:29,1109,7.55187,0.00127861
2014-02-06,17:03:30,1109,7.55182,0.0012635
2014-02-06,17:03:31,1110,7.55184,0.00123245
2014-02-06,17:03:32,1106,7.55182,0.00124616
2014-02-06,17:03:33,1109,7.5518,0.00124565
2014-02-06,17:03:34,1110,7.55211,0.00118661
2014-02-06,17:03:36,1108,7.55221,0.00120342
2014-02-06,17:03:37,1110,7.55221,0.0012075
2014-02-06,17:03:38,1107,7.5521,0.00117999
2014-02-06,17:03:39,1112,7.55217,0.00120245
2014-02-06,17:03:40,1110,7.5521,0.00117686
2014-02-06,17:03:41,1106,7.55203,0.00118424
2014-02-06,17:03:42,1109,7.55212,0.00121235
2014-02-06,17:03:43,1109,7.55202,0.0011821
2014-02-06,17:03:44,1108,7.552,0.00119177
2014-02-06,17:03:45,1107,7.55206,0.00119941
2014-02-06,17:03:47,1110,7.55193,0.0011877
2014-02-06,17:03:48,1110,7.55202,0.00120989
2014-02-06,17:03:49,1109,7.55192,0.00117135
2014-02-06,17:03:50,1109,7.55194,0.00118621
2014-02-06,17:03:51,1111,7.55193,0.00118445
2014-02-06,17:03:52,1106,7.55183,0.00118707
2014-02-06,17:03:53,1110,7.55191,0.00122073
2014-02-06,17:03:54,1107,7.55179,0.00117288
2014-02-06,17:03:55,1109,7.55181,0.00120897
2014-02-06,17:03:57,1110,7.55183,0.00119412
2014-02-06,17:03:58,1109,7.55173,0.0011935
2014-02-06,17:03:59,1110,7.55182,0.00119516
2014-02-06,17:04:00,1107,7.55173,0.00116543
2014-02-06,17:04:01,1109,7.55169,0.00119892
2014-02-06,17:04:02,1111,7.55171,0.00118649
2014-02-06,17:04:03,1104,7.55166,0.00119648
2014-02-06,17:04:04,1108,7.55164,0.00120279
2014-02-06,17:04:05,1109,7.55164,0.00117984
2014-02-06,17:04:07,1108,7.55155,0.00120518
2014-02-06,17:04:08,1111,7.55162,0.00120015
2014-02-06,17:04:09,1106,7.55155,0.00119343
2014-02-06,17:04:10,1109,7.55151,0.00119287
2014-02-06,17:04:11,1108,7.55155,0.00119146
2014-02-06,17:04:12,1111,7.55142,0.00117474
2014-02-06,17:04:13,1109,7.55145,0.00120458
2014-02-06,17:04:14,1109,7.55141,0.00119241
2014-02-06,17:04:15,1108,7.55143,0.00119581
2014-02-06,17:04:17,1106,7.55146,0.00121103
2014-02-06,17:04:18,1108,7.55134,0.00117913
2014-02-06,17:04:19,1113,7.5514,0.00121839
2014-02-06,17:04:20,1106,7.55129,0.00119544
2014-02-06,17:04:21,1112,7.55135,0.00120816
2014-02-06,17:04:22,1111,7.55125,0.00119138
2014-02-06,17:04:23,1107,7.55125,0.00120294
2014-02-06,17:04:24,1110,7.55125,0.00117671
2014-02-06,17:04:25,1108,7.55123,0.00121008
2014-02-06,17:04:27,1109,7.55125,0.00119426
2014-02-06,17:04:28,1110,7.55112,0.0012012
2014-02-06,17:04:29,1108,7.55122,0.00122204
2014-02-06,17:04:30,1111,7.55116,0.00118709
2014-02-06,17:04:31,1108,7.55112,0.00120225
2014-02-06,17:04:32,1109,7.55105,0.00118326
2014-02-06,17:04:33,1110,7.55115,0.00121074
